0,916
1,1126
2,1345
3,1566
4,1810
5,2052
6,2265
7,2506
8,2649
9,2912
10,3167
11,3402
12,3626
13,3790
14,4094
15,4284
16,4522
17,4755
18,5016
19,5271
20,5475
21,5708
22,5917
23,6105
24,6341
25,6563
26,6797
27,7041
28,7235
29,7417
30,7577
31,7775
32,7980
33,8171
34,8358
35,8576
36,8734
37,8929
38,9084
39,9300
40,9466
41,9599
42,9732
43,9840
44,9959
45,10041
46,10131
47,10235
48,10362
49,10463
50,10211
51,10127
52,10017
53,9902
54,9794
55,9662
56,9569
57,9467
58,9508
59,9444
60,9296
61,9221
62,9100
63,9066
64,8902
65,8814
66,8661
67,8478
68,8282
69,8165
70,8044
71,7931
72,7812
73,7722
74,7582
75,7466
76,7337
77,7203
78,7113
79,7034
80,6974
81,6860
82,6742
83,6646
84,6561
85,6431
86,6380
87,6297
88,6249
89,6108
90,6028
91,5997
92,5961
93,5974
94,5955
95,5966
96,5954
97,5890
98,5793
